net,length_um
_03730_,80.275
_01086_,80.24
rvsingle.dp.rf.rf\[6\]\[3\],80.03
rvsingle.dp.rf.rf\[5\]\[1\],79.8
clknet_leaf_137_clk,79.73
rvsingle.dp.rf.rf\[12\]\[3\],79.72
rvsingle.dp.rf.rf\[2\]\[2\],79.66
rvsingle.dp.rf.rf\[25\]\[8\],79.54
_04908_,79.48
_04977_,79.22
_02502_,79.18
clknet_leaf_18_clk,79.16
rvsingle.dp.rf.rf\[18\]\[24\],79.1
rvsingle.dp.rf.rf\[10\]\[20\],78.945
_04153_,78.88
rvsingle.dp.rf.rf\[19\]\[16\],78.7
rvsingle.dp.rf.rf\[9\]\[6\],78.66
clknet_leaf_104_clk,78.66
_02695_,78.57
rvsingle.dp.rf.rf\[16\]\[8\],78.55
rvsingle.dp.rf.rf\[18\]\[12\],78.485
clknet_leaf_6_clk,78.48
clknet_leaf_145_clk,78.32
_04397_,78.3
_04128_,78.28
rvsingle.dp.rf.rf\[16\]\[12\],78.26
clknet_leaf_131_clk,78.26
rvsingle.dp.rf.rf\[2\]\[3\],78.24
clknet_leaf_81_clk,78.22
clknet_leaf_49_clk,78.2
_04617_,78.12
rvsingle.dp.rf.rf\[19\]\[24\],78.11
rvsingle.dp.rf.rf\[17\]\[7\],77.94
rvsingle.dp.rf.rf\[13\]\[22\],77.82
clknet_leaf_31_clk,77.74
rvsingle.dp.rf.rf\[22\]\[12\],77.68
clknet_leaf_106_clk,77.5
_02800_,77.31
clknet_leaf_44_clk,77.3
rvsingle.dp.rf.rf\[15\]\[5\],77.2
rvsingle.dp.rf.rf\[4\]\[0\],77.14
_01170_,76.96
rvsingle.dp.rf.rf\[8\]\[3\],76.9
rvsingle.dp.rf.rf\[4\]\[3\],76.76
_05207_,76.74
_05747_,76.74
clknet_leaf_126_clk,76.695
rvsingle.dp.rf.rf\[28\]\[5\],76.64
rvsingle.dp.rf.rf\[14\]\[22\],76.625
_03684_,76.58
rvsingle.dp.rf.rf\[18\]\[26\],76.07
rvsingle.dp.rf.rf\[24\]\[12\],76.02
_01869_,75.44
clknet_leaf_43_clk,75.435
_02165_,75.28
rvsingle.dp.rf.rf\[17\]\[21\],75.06
rvsingle.dp.rf.rf\[29\]\[19\],75
clknet_leaf_25_clk,75
rvsingle.dp.rf.rf\[31\]\[19\],74.94
_02413_,74.88
_01150_,74.82
_04868_,74.77
_02801_,74.74
clknet_leaf_99_clk,74.74
rvsingle.dp.rf.rf\[31\]\[24\],74.72
rvsingle.dp.rf.rf\[27\]\[13\],74.67
_04912_,74.66
rvsingle.dp.rf.rf\[18\]\[20\],74.64
rvsingle.dp.rf.rf\[18\]\[3\],74.6
_04459_,74.54
rvsingle.dp.rf.rf\[21\]\[11\],74.44
rvsingle.dp.rf.rf\[31\]\[1\],74.28
_03802_,74.04
rvsingle.dp.rf.rf\[17\]\[13\],73.98
rvsingle.dp.rf.rf\[13\]\[5\],73.92
rvsingle.dp.rf.rf\[20\]\[7\],73.64
rvsingle.dp.rf.rf\[24\]\[7\],73.52
_01624_,73.5
_02798_,73.5
rvsingle.dp.rf.rf\[26\]\[2\],73.46
clknet_leaf_93_clk,73.36
rvsingle.dp.rf.rf\[10\]\[5\],73.3
_04454_,73.14
_03939_,73.06
rvsingle.dp.rf.rf\[29\]\[18\],72.98
rvsingle.dp.rf.rf\[17\]\[20\],72.94
_04477_,72.9
clknet_leaf_24_clk,72.86
clknet_leaf_39_clk,72.825
_04429_,72.72
_05364_,72.48
rvsingle.dp.rf.rf\[25\]\[11\],72.46
net825,72.23
_02962_,71.96
_03043_,71.88
_03646_,71.8
clknet_leaf_23_clk,71.7
_01169_,71.56
_04445_,71.5
rvsingle.dp.rf.rf\[18\]\[1\],71.28
rvsingle.dp.rf.rf\[22\]\[11\],71.12
rvsingle.dp.rf.rf\[21\]\[8\],71.08
rvsingle.dp.rf.rf\[3\]\[26\],71.04
_04219_,71.01
_03784_,70.66
rvsingle.dp.rf.rf\[24\]\[11\],70.64
_04159_,70.5
_02540_,70.48
rvsingle.dp.rf.rf\[12\]\[1\],70.26
_03480_,70.22
DataAdr[19],70.11
rvsingle.dp.rf.rf\[5\]\[5\],70.1
rvsingle.dp.rf.rf\[28\]\[15\],70.04
clknet_leaf_59_clk,69.78
rvsingle.dp.rf.rf\[12\]\[13\],69.5
rvsingle.dp.rf.rf\[20\]\[3\],69.34
clknet_leaf_8_clk,69.32
rvsingle.dp.rf.rf\[24\]\[2\],69.28
_04721_,69.255
clknet_leaf_9_clk,69.24
_02657_,69.2
rvsingle.dp.rf.rf\[19\]\[26\],69.045
clknet_leaf_102_clk,69.02
rvsingle.dp.rf.rf\[21\]\[10\],69.01
_04234_,68.98
rvsingle.dp.rf.rf\[13\]\[21\],68.98
clknet_leaf_56_clk,68.82
_02803_,68.74
_01846_,68.7
_02308_,68.665
_04915_,68.655
clknet_leaf_87_clk,68.64
_05756_,68.6
Instr[18],68.58
clknet_leaf_111_clk,68.56
_02681_,68.52
_05365_,68.38
clknet_leaf_127_clk,68.3
clknet_leaf_120_clk,68.26
rvsingle.dp.rf.rf\[29\]\[27\],68.2
rvsingle.dp.rf.rf\[31\]\[18\],67.95
rvsingle.dp.rf.rf\[15\]\[22\],67.84
rvsingle.dp.rf.rf\[17\]\[26\],67.82
rvsingle.dp.rf.rf\[29\]\[22\],67.82
_05234_,67.78
WriteData[24],67.62
rvsingle.dp.rf.rf\[27\]\[11\],67.52
_01914_,67.46
rvsingle.dp.rf.rf\[18\]\[15\],67.18
_02746_,67.12
clknet_leaf_124_clk,67.105
_03050_,67.04
clknet_leaf_110_clk,67.02
clknet_leaf_65_clk,67.01
rvsingle.dp.rf.rf\[21\]\[4\],67
_04458_,66.95
rvsingle.dp.rf.rf\[22\]\[2\],66.82
_04354_,66.66
_05862_,66.62
_05367_,66.42
_02262_,66.2
_04002_,65.92
rvsingle.dp.rf.rf\[16\]\[14\],65.875
rvsingle.dp.rf.rf\[12\]\[22\],65.72
rvsingle.dp.rf.rf\[9\]\[5\],65.64
rvsingle.dp.rf.rf\[27\]\[19\],65.58
rvsingle.dp.rf.rf\[28\]\[10\],65.58
_05743_,65.56
_03237_,65.46
_03437_,65.34
clknet_leaf_92_clk,65.02
rvsingle.dp.rf.rf\[14\]\[1\],64.845
_05760_,64.7
_05273_,64.68
rvsingle.dp.rf.rf\[22\]\[6\],64.68
rvsingle.dp.rf.rf\[31\]\[20\],64.64
rvsingle.dp.rf.rf\[13\]\[27\],64.54
rvsingle.dp.rf.rf\[13\]\[26\],64.5
clknet_leaf_80_clk,64.48
_04502_,64.46
rvsingle.dp.rf.rf\[19\]\[22\],64.46
_04739_,64.44
rvsingle.dp.rf.rf\[28\]\[1\],64.3
rvsingle.dp.rf.rf\[2\]\[31\],64.14
clknet_leaf_26_clk,64.1
_02184_,63.84
rvsingle.dp.rf.rf\[20\]\[2\],63.82
_01749_,63.74
_01948_,63.74
_03144_,63.62
clknet_leaf_0_clk,63.6
_04902_,63.54
rvsingle.dp.rf.rf\[6\]\[2\],63.3
rvsingle.dp.rf.rf\[5\]\[8\],63.2
rvsingle.dp.rf.rf\[26\]\[13\],63.18
rvsingle.dp.rf.rf\[25\]\[19\],63.16
_02503_,63.1
rvsingle.dp.rf.rf\[17\]\[16\],63.08
_03490_,63
clknet_leaf_28_clk,62.92
rvsingle.dp.rf.rf\[17\]\[19\],62.9
rvsingle.dp.rf.rf\[9\]\[3\],62.84
clknet_leaf_76_clk,62.84
_05830_,62.795
_05137_,62.76
_02541_,62.72
clknet_leaf_10_clk,62.695
_03204_,62.62
rvsingle.dp.rf.rf\[17\]\[5\],62.6
rvsingle.dp.rf.rf\[20\]\[5\],62.6
rvsingle.dp.rf.rf\[17\]\[24\],62.48
_03855_,62.46
_04738_,62.43
clknet_leaf_129_clk,62.4
_01805_,62.38
clknet_leaf_14_clk,62.32
_03290_,62.22
rvsingle.dp.rf.rf\[20\]\[6\],62.22
clknet_leaf_15_clk,62.22
_03924_,62.18
clknet_leaf_139_clk,62.16
_03790_,62.12
clknet_leaf_109_clk,62.1
clknet_leaf_29_clk,62.06
_03227_,61.88
rvsingle.dp.rf.rf\[10\]\[14\],61.805
rvsingle.dp.rf.rf\[15\]\[1\],61.8
rvsingle.dp.rf.rf\[24\]\[14\],61.74
rvsingle.dp.rf.rf\[22\]\[15\],61.62
rvsingle.dp.rf.rf\[20\]\[10\],61.58
clknet_leaf_70_clk,61.58
rvsingle.dp.rf.rf\[0\]\[5\],61.56
rvsingle.dp.rf.rf\[4\]\[6\],61.44
rvsingle.dp.rf.rf\[17\]\[0\],61.19
rvsingle.dp.rf.rf\[11\]\[22\],61.12
rvsingle.dp.rf.rf\[13\]\[10\],61.12
_02745_,61.1
_04156_,60.885
rvsingle.dp.rf.rf\[13\]\[3\],60.74
_01949_,60.7
rvsingle.dp.rf.rf\[26\]\[0\],60.68
_04889_,60.66
rvsingle.dp.rf.rf\[16\]\[18\],60.5
_04922_,60.46
clknet_leaf_135_clk,60.45
clknet_leaf_119_clk,60.44
rvsingle.dp.rf.rf\[12\]\[21\],60.41
_02762_,60.38
rvsingle.dp.rf.rf\[21\]\[14\],60.38
rvsingle.dp.rf.rf\[16\]\[0\],60.32
rvsingle.dp.rf.rf\[19\]\[19\],60.3
_04344_,60.26
rvsingle.dp.rf.rf\[18\]\[0\],60.2
rvsingle.dp.rf.rf\[7\]\[16\],60.08
rvsingle.dp.rf.rf\[30\]\[19\],59.98
rvsingle.dp.rf.rf\[14\]\[27\],59.945
rvsingle.dp.rf.rf\[0\]\[3\],59.92
_03044_,59.8
rvsingle.dp.rf.rf\[18\]\[14\],59.725
_03194_,59.7
rvsingle.dp.rf.rf\[29\]\[14\],59.68
_02876_,59.62
clknet_leaf_96_clk,59.57
clknet_leaf_78_clk,59.48
rvsingle.dp.rf.rf\[8\]\[9\],59.45
rvsingle.dp.rf.rf\[22\]\[5\],59.225
clknet_leaf_117_clk,59.02
rvsingle.dp.rf.rf\[14\]\[12\],58.82
rvsingle.dp.rf.rf\[11\]\[21\],58.73
rvsingle.dp.rf.rf\[27\]\[14\],58.66
rvsingle.dp.rf.rf\[28\]\[19\],58.62
rvsingle.dp.rf.rf\[19\]\[0\],58.54
rvsingle.dp.rf.rf\[21\]\[29\],58.54
rvsingle.dp.rf.rf\[29\]\[5\],58.52
_05164_,58.38
_03735_,58.36
_04421_,58.3
rvsingle.dp.rf.rf\[9\]\[20\],58.3
rvsingle.dp.rf.rf\[16\]\[5\],58.2
clknet_leaf_90_clk,58.075
rvsingle.dp.rf.rf\[31\]\[14\],58.06
rvsingle.dp.rf.rf\[22\]\[14\],58.005
_01684_,57.9
rvsingle.dp.rf.rf\[16\]\[26\],57.9
rvsingle.dp.rf.rf\[21\]\[15\],57.9
rvsingle.dp.rf.rf\[27\]\[18\],57.9
clknet_leaf_5_clk,57.82
_02297_,57.68
rvsingle.dp.rf.rf\[20\]\[15\],57.64
rvsingle.dp.rf.rf\[31\]\[28\],57.53
rvsingle.dp.rf.rf\[15\]\[14\],57.48
clknet_leaf_148_clk,57.48
clknet_leaf_62_clk,57.4
rvsingle.dp.rf.rf\[28\]\[6\],57.23
_01997_,57.14
_03473_,57.08
rvsingle.dp.rf.rf\[24\]\[0\],57.06
_02721_,56.98
rvsingle.dp.rf.rf\[17\]\[14\],56.84
rvsingle.dp.rf.rf\[20\]\[21\],56.56
clknet_leaf_118_clk,56.56
rvsingle.dp.rf.rf\[20\]\[19\],56.48
_02967_,56.47
rvsingle.dp.rf.rf\[18\]\[21\],56.47
rvsingle.dp.rf.rf\[24\]\[1\],56.45
rvsingle.dp.rf.rf\[20\]\[14\],56.44
clknet_leaf_4_clk,56.4
_01095_,56.32
rvsingle.dp.rf.rf\[14\]\[14\],56.16
rvsingle.dp.rf.rf\[20\]\[8\],56.16
_02854_,56.14
rvsingle.dp.rf.rf\[29\]\[12\],56.12
_02265_,56.1
_04901_,55.86
rvsingle.dp.rf.rf\[6\]\[5\],55.86
clknet_leaf_77_clk,55.8
rvsingle.dp.rf.rf\[16\]\[1\],55.73
rvsingle.dp.rf.rf\[14\]\[26\],55.705
_02697_,55.68
rvsingle.dp.rf.rf\[24\]\[25\],55.68
rvsingle.dp.rf.rf\[24\]\[6\],55.68
rvsingle.dp.rf.rf\[18\]\[27\],55.62
rvsingle.dp.rf.rf\[21\]\[2\],55.58
_02210_,55.48
clknet_leaf_97_clk,55.46
rvsingle.dp.rf.rf\[17\]\[15\],55.45
rvsingle.dp.rf.rf\[19\]\[18\],55.45
_03111_,55.395
rvsingle.dp.rf.rf\[31\]\[22\],55.38
rvsingle.dp.rf.rf\[6\]\[1\],55.36
clknet_leaf_41_clk,55.34
rvsingle.dp.rf.rf\[20\]\[4\],55.32
rvsingle.dp.rf.rf\[20\]\[1\],55.26
rvsingle.dp.rf.rf\[13\]\[20\],55.24
rvsingle.dp.rf.rf\[2\]\[25\],55.24
_02357_,55.18
_02607_,55.16
rvsingle.dp.rf.rf\[19\]\[4\],55.06
_04918_,55.04
rvsingle.dp.rf.rf\[25\]\[2\],55.02
rvsingle.dp.rf.rf\[14\]\[21\],54.94
clknet_leaf_83_clk,54.78
_02848_,54.73
rvsingle.dp.rf.rf\[10\]\[6\],54.64
_02046_,54.62
rvsingle.dp.rf.rf\[24\]\[15\],54.44
_02531_,54.42
_06098_,54.42
rvsingle.dp.rf.rf\[9\]\[18\],54.39
rvsingle.dp.rf.rf\[28\]\[8\],54.34
_01076_,54.3
rvsingle.dp.rf.rf\[5\]\[26\],54.3
rvsingle.dp.rf.rf\[10\]\[7\],54.24
rvsingle.dp.rf.rf\[22\]\[29\],54.18
rvsingle.dp.rf.rf\[23\]\[7\],54.16
rvsingle.dp.rf.rf\[26\]\[3\],53.91
rvsingle.dp.rf.rf\[12\]\[10\],53.74
_05021_,53.72
rvsingle.dp.rf.rf\[14\]\[20\],53.46
rvsingle.dp.rf.rf\[9\]\[21\],53.44
clknet_leaf_60_clk,53.4
rvsingle.dp.rf.rf\[29\]\[21\],53.38
_02100_,53.26
_04419_,53.08
_02856_,52.94
rvsingle.dp.rf.rf\[20\]\[27\],52.88
rvsingle.dp.rf.rf\[28\]\[18\],52.84
rvsingle.dp.rf.rf\[29\]\[26\],52.84
rvsingle.dp.rf.rf\[19\]\[5\],52.8
rvsingle.dp.rf.rf\[20\]\[29\],52.8
clknet_leaf_79_clk,52.8
rvsingle.dp.rf.rf\[13\]\[1\],52.7
_04643_,52.66
_02964_,52.6
rvsingle.dp.rf.rf\[16\]\[20\],52.6
_02907_,52.54
rvsingle.dp.rf.rf\[22\]\[27\],52.525
_02377_,52.52
rvsingle.dp.rf.rf\[27\]\[2\],52.5
_04554_,52.475
clknet_leaf_19_clk,52.28
rvsingle.dp.rf.rf\[22\]\[3\],52.26
rvsingle.dp.rf.rf\[22\]\[8\],52.24
rvsingle.dp.rf.rf\[21\]\[6\],52.16
rvsingle.dp.rf.rf\[5\]\[21\],52.02
_01713_,51.94
rvsingle.dp.rf.rf\[28\]\[7\],51.94
clknet_leaf_103_clk,51.92
rvsingle.dp.rf.rf\[18\]\[19\],51.885
rvsingle.dp.rf.rf\[29\]\[1\],51.8
rvsingle.dp.rf.rf\[26\]\[19\],51.78
_04722_,51.76
clknet_leaf_144_clk,51.74
rvsingle.dp.rf.rf\[17\]\[6\],51.64
_04925_,51.6
_03719_,51.58
rvsingle.dp.rf.rf\[14\]\[16\],51.58
rvsingle.dp.rf.rf\[7\]\[5\],51.48
_02859_,51.34
rvsingle.dp.rf.rf\[0\]\[2\],51.28
rvsingle.dp.rf.rf\[22\]\[1\],51.25
rvsingle.dp.rf.rf\[28\]\[25\],51.22
rvsingle.dp.rf.rf\[20\]\[26\],51.14
rvsingle.dp.rf.rf\[14\]\[10\],51.1
rvsingle.dp.rf.rf\[28\]\[4\],51.1
rvsingle.dp.rf.rf\[25\]\[14\],50.94
rvsingle.dp.rf.rf\[17\]\[12\],50.92
rvsingle.dp.rf.rf\[25\]\[15\],50.86
rvsingle.dp.rf.rf\[27\]\[21\],50.8
_04851_,50.74
clknet_leaf_94_clk,50.74
rvsingle.dp.rf.rf\[2\]\[0\],50.7
rvsingle.dp.rf.rf\[16\]\[3\],50.57
rvsingle.dp.rf.rf\[3\]\[5\],50.54
_03631_,50.4
rvsingle.dp.rf.rf\[24\]\[3\],50.38
rvsingle.dp.rf.rf\[15\]\[10\],50.26
_03352_,50.22
clknet_leaf_100_clk,50.18
clknet_leaf_107_clk,50.16
_05057_,50.15
rvsingle.dp.rf.rf\[23\]\[2\],50.12
rvsingle.dp.rf.rf\[14\]\[18\],50.02
clknet_leaf_75_clk,50.02
_04444_,49.94
rvsingle.dp.rf.rf\[28\]\[16\],49.86
clknet_leaf_61_clk,49.82
_03496_,49.78
rvsingle.dp.rf.rf\[30\]\[0\],49.78
_02012_,49.77
rvsingle.dp.rf.rf\[12\]\[26\],49.7
rvsingle.dp.rf.rf\[24\]\[17\],49.7
rvsingle.dp.rf.rf\[24\]\[21\],49.63
rvsingle.dp.rf.rf\[25\]\[21\],49.62
rvsingle.dp.rf.rf\[31\]\[16\],49.62
rvsingle.dp.rf.rf\[31\]\[4\],49.54
clknet_leaf_3_clk,49.44
clknet_leaf_105_clk,49.4
_03907_,49.355
_04660_,49.25
rvsingle.dp.rf.rf\[31\]\[15\],49.24
_01152_,49.215
rvsingle.dp.rf.rf\[10\]\[15\],49.12
rvsingle.dp.rf.rf\[26\]\[12\],49.04
rvsingle.dp.rf.rf\[26\]\[20\],48.98
rvsingle.dp.rf.rf\[3\]\[2\],48.94
rvsingle.dp.rf.rf\[27\]\[17\],48.71
rvsingle.dp.rf.rf\[16\]\[16\],48.68
rvsingle.dp.rf.rf\[1\]\[3\],48.67
rvsingle.dp.rf.rf\[19\]\[2\],48.66
rvsingle.dp.rf.rf\[1\]\[0\],48.6
rvsingle.dp.rf.rf\[15\]\[27\],48.58
rvsingle.dp.rf.rf\[17\]\[27\],48.58
rvsingle.dp.rf.rf\[29\]\[16\],48.49
rvsingle.dp.rf.rf\[31\]\[27\],48.46
_03221_,48.14
_03301_,48.08
rvsingle.dp.rf.rf\[27\]\[0\],47.98
rvsingle.dp.rf.rf\[10\]\[2\],47.96
_04151_,47.92
_03047_,47.82
_03754_,47.76
rvsingle.dp.rf.rf\[15\]\[8\],47.67
rvsingle.dp.rf.rf\[7\]\[2\],47.66
rvsingle.dp.rf.rf\[19\]\[14\],47.58
rvsingle.dp.rf.rf\[21\]\[20\],47.58
_03053_,47.54
rvsingle.dp.rf.rf\[15\]\[18\],47.42
clknet_leaf_122_clk,47.4
rvsingle.dp.rf.rf\[28\]\[0\],47.3
_03573_,47.29
_02665_,47.22
rvsingle.dp.rf.rf\[15\]\[21\],47.15
_02532_,47.085
rvsingle.dp.rf.rf\[20\]\[22\],47.08
_04158_,46.86
_04546_,46.86
clknet_leaf_68_clk,46.76
_03313_,46.72
rvsingle.dp.rf.rf\[4\]\[9\],46.72
rvsingle.dp.rf.rf\[10\]\[1\],46.7
_03579_,46.66
_02570_,46.64
rvsingle.dp.rf.rf\[19\]\[6\],46.63
_03268_,46.58
_02997_,46.48
rvsingle.dp.rf.rf\[18\]\[16\],46.48
rvsingle.dp.rf.rf\[27\]\[27\],46.48
rvsingle.dp.rf.rf\[21\]\[28\],46.44
_05116_,46.29
_04292_,46.28
rvsingle.dp.rf.rf\[9\]\[1\],46.24
rvsingle.dp.rf.rf\[2\]\[1\],46.105
rvsingle.dp.rf.rf\[29\]\[25\],46.1
rvsingle.dp.rf.rf\[16\]\[6\],46.02
_03765_,45.96
rvsingle.dp.rf.rf\[19\]\[13\],45.94
_01079_,45.86
rvsingle.dp.rf.rf\[27\]\[12\],45.86
rvsingle.dp.rf.rf\[26\]\[14\],45.71
_02594_,45.6
_03502_,45.58
clknet_leaf_132_clk,45.56
_02682_,45.48
_02667_,45.42
rvsingle.dp.rf.rf\[14\]\[15\],45.38
rvsingle.dp.rf.rf\[9\]\[14\],45.38
clknet_leaf_138_clk,45.38
rvsingle.dp.rf.rf\[13\]\[7\],45.36
_02638_,45.24
_01190_,45.235
_03523_,45.04
_04286_,45.04
_02574_,45.02
rvsingle.dp.rf.rf\[9\]\[13\],45.02
_04552_,44.975
_04575_,44.94
rvsingle.dp.rf.rf\[3\]\[3\],44.94
rvsingle.dp.rf.rf\[21\]\[3\],44.84
rvsingle.dp.rf.rf\[21\]\[21\],44.82
rvsingle.dp.rf.rf\[3\]\[0\],44.82
rvsingle.dp.rf.rf\[31\]\[12\],44.795
rvsingle.dp.rf.rf\[28\]\[13\],44.74
_04446_,44.62
clknet_leaf_151_clk,44.56
rvsingle.dp.rf.rf\[21\]\[27\],44.48
_02696_,44.24
_03744_,44.16
_02344_,44.1
_02693_,44.02
rvsingle.dp.rf.rf\[1\]\[8\],43.98
rvsingle.dp.rf.rf\[26\]\[6\],43.945
_03775_,43.88
rvsingle.dp.rf.rf\[20\]\[0\],43.88
_01064_,43.84
_02708_,43.84
_03199_,43.76
rvsingle.dp.rf.rf\[4\]\[2\],43.72
_02530_,43.7
rvsingle.dp.rf.rf\[29\]\[11\],43.66
_01889_,43.58
rvsingle.dp.rf.rf\[27\]\[25\],43.54
rvsingle.dp.rf.rf\[22\]\[0\],43.52
rvsingle.dp.rf.rf\[13\]\[28\],43.505
_03215_,43.46
rvsingle.dp.rf.rf\[26\]\[31\],43.44
rvsingle.dp.rf.rf\[15\]\[7\],43.34
rvsingle.dp.rf.rf\[31\]\[8\],43.34
clknet_leaf_20_clk,43.34
_04475_,43.3
clknet_leaf_84_clk,43.26
_03148_,43.2
_01700_,43.16
rvsingle.dp.rf.rf\[30\]\[18\],43.085
_01249_,43.02
rvsingle.dp.rf.rf\[15\]\[15\],43
rvsingle.dp.rf.rf\[1\]\[5\],43
_04030_,42.9
_03799_,42.84
rvsingle.dp.rf.rf\[1\]\[27\],42.82
rvsingle.dp.rf.rf\[7\]\[1\],42.8
_03706_,42.78
_03572_,42.76
_02464_,42.74
_04811_,42.66
rvsingle.dp.rf.rf\[21\]\[19\],42.66
rvsingle.dp.rf.rf\[4\]\[22\],42.58
rvsingle.dp.rf.rf\[14\]\[31\],42.505
_02906_,42.495
rvsingle.dp.rf.rf\[10\]\[25\],42.465
_04207_,42.42
rvsingle.dp.rf.rf\[31\]\[26\],42.4
rvsingle.dp.rf.rf\[19\]\[21\],42.34
rvsingle.dp.rf.rf\[22\]\[25\],42.335
rvsingle.dp.rf.rf\[31\]\[17\],42.12
rvsingle.dp.rf.rf\[20\]\[16\],41.98
rvsingle.dp.rf.rf\[25\]\[25\],41.98
clknet_leaf_112_clk,41.88
rvsingle.dp.rf.rf\[8\]\[7\],41.86
rvsingle.dp.rf.rf\[17\]\[1\],41.84
rvsingle.dp.rf.rf\[10\]\[21\],41.745
_02622_,41.72
rvsingle.dp.rf.rf\[30\]\[14\],41.68
_04273_,41.66
_02744_,41.62
rvsingle.dp.rf.rf\[1\]\[20\],41.62
clknet_leaf_12_clk,41.62
rvsingle.dp.rf.rf\[20\]\[20\],41.6
_01375_,41.58
rvsingle.dp.rf.rf\[13\]\[19\],41.56
rvsingle.dp.rf.rf\[18\]\[18\],41.53
rvsingle.dp.rf.rf\[26\]\[1\],41.505
net822,41.48
rvsingle.dp.rf.rf\[29\]\[4\],41.4
rvsingle.dp.rf.rf\[28\]\[2\],41.34
_04595_,41.32
rvsingle.dp.rf.rf\[15\]\[29\],41.32
_04184_,41.26
_04079_,41.2
rvsingle.dp.rf.rf\[25\]\[17\],41.2
rvsingle.dp.rf.rf\[7\]\[22\],41.2
_02136_,41.18
rvsingle.dp.rf.rf\[21\]\[26\],41.14
_01802_,41.12
_03936_,41.12
rvsingle.dp.rf.rf\[17\]\[31\],41.12
clknet_leaf_72_clk,41.12
_01918_,41.08
rvsingle.dp.rf.rf\[27\]\[22\],41.04
clknet_leaf_149_clk,40.84
_04916_,40.64
rvsingle.dp.rf.rf\[5\]\[31\],40.54
rvsingle.dp.rf.rf\[1\]\[22\],40.46
_04031_,40.38
clknet_leaf_134_clk,40.28
_03406_,40.26
_03310_,40.24
_04063_,40.24
_02849_,40.2
rvsingle.dp.rf.rf\[15\]\[20\],40.2
rvsingle.dp.rf.rf\[5\]\[3\],40.2
rvsingle.dp.rf.rf\[0\]\[31\],40.12
rvsingle.dp.rf.rf\[22\]\[10\],40.005
_01250_,39.98
_04628_,39.94
rvsingle.dp.rf.rf\[31\]\[11\],39.9
rvsingle.dp.rf.rf\[22\]\[4\],39.875
_02555_,39.84
rvsingle.dp.rf.rf\[9\]\[2\],39.84
_04076_,39.82
rvsingle.dp.rf.rf\[15\]\[19\],39.82
_03801_,39.8
rvsingle.dp.rf.rf\[31\]\[31\],39.8
rvsingle.dp.rf.rf\[24\]\[5\],39.77
rvsingle.dp.rf.rf\[24\]\[31\],39.62
_03700_,39.52
_02370_,39.5
rvsingle.dp.rf.rf\[19\]\[1\],39.5
_04302_,39.48
rvsingle.dp.rf.rf\[12\]\[20\],39.42
rvsingle.dp.rf.rf\[8\]\[24\],39.42
rvsingle.dp.rf.rf\[29\]\[20\],39.34
_03045_,39.32
_01820_,39.235
_03146_,39.2
rvsingle.dp.rf.rf\[13\]\[29\],39.2
_03783_,39.16
rvsingle.dp.rf.rf\[2\]\[17\],39.13
_02751_,39.12
_05738_,39.12
_03570_,39.08
_02367_,39.06
_04559_,39.04
rvsingle.dp.rf.rf\[14\]\[30\],39.025
_03750_,39
rvsingle.dp.rf.rf\[9\]\[10\],38.94
rvsingle.dp.rf.rf\[15\]\[28\],38.8
rvsingle.dp.rf.rf\[3\]\[22\],38.78
rvsingle.dp.rf.rf\[19\]\[20\],38.76
rvsingle.dp.rf.rf\[27\]\[15\],38.68
_01350_,38.6
rvsingle.dp.rf.rf\[13\]\[30\],38.56
rvsingle.dp.PCNext\[26\],38.425
rvsingle.dp.rf.rf\[9\]\[25\],38.4
rvsingle.dp.rf.rf\[9\]\[31\],38.4
_01739_,38.36
_04138_,38.34
rvsingle.dp.rf.rf\[24\]\[22\],38.28
rvsingle.dp.rf.rf\[9\]\[15\],38.23
rvsingle.dp.rf.rf\[28\]\[14\],38.22
clknet_leaf_42_clk,38.22
_04844_,38.06
rvsingle.dp.rf.rf\[4\]\[16\],38.06
rvsingle.dp.rf.rf\[4\]\[1\],38.06
rvsingle.dp.rf.rf\[14\]\[29\],38.02
rvsingle.dp.rf.rf\[31\]\[10\],38
_03297_,37.98
rvsingle.dp.rf.rf\[30\]\[6\],37.945
_03591_,37.94
_04228_,37.86
rvsingle.dp.rf.rf\[14\]\[7\],37.84
_04059_,37.83
rvsingle.dp.rf.rf\[15\]\[0\],37.82
_01353_,37.8
rvsingle.dp.rf.rf\[13\]\[15\],37.79
rvsingle.dp.rf.rf\[15\]\[31\],37.68
_02152_,37.66
_04161_,37.66
rvsingle.dp.rf.rf\[30\]\[1\],37.66
rvsingle.dp.rf.rf\[3\]\[16\],37.62
rvsingle.dp.rf.rf\[23\]\[3\],37.54
_03565_,37.52
rvsingle.dp.rf.rf\[24\]\[27\],37.52
rvsingle.dp.rf.rf\[5\]\[6\],37.52
_04661_,37.44
_04167_,37.41
_03714_,37.34
_01787_,37.3
_01227_,37.28
rvsingle.dp.rf.rf\[15\]\[4\],37.26
_01069_,37.22
_04193_,37.21
_04642_,37.18
_04582_,37.16
_03524_,37.14
rvsingle.dp.rf.rf\[19\]\[7\],37.14
rvsingle.dp.rf.rf\[16\]\[21\],37.13
rvsingle.dp.rf.rf\[28\]\[22\],37.1
_03049_,37.08
rvsingle.dp.rf.rf\[8\]\[1\],36.96
rvsingle.dp.rf.rf\[9\]\[17\],36.96
